StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q2_5_TEXT,Q6,Q16,Q14,Q14_6_TEXT,Q3,Q4,Q5,Q12,Q12_5_TEXT
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Have you attended or are planning to attend an OCS program?,Why didn't you attend an OCS program? (Select all that apply) - Selected Choice,Why didn't you attend an OCS program? (Select all that apply) - Others - Text,In which class year or years did you study abroad? (Select all that apply),Was the program you attended or planning to attend in Europe?,For which reasons did you decide to attend a European program? (Select all that apply) - Selected Choice,For which reasons did you decide to attend a European program? (Select all that apply) - Other - Text,Are you a varsity athlete?,During what term is your athletic season?,Did you plan on doing OCS before coming to Carleton?,In which field of study is your major? - Selected Choice,In which field of study is your major? - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID16""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_6_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_5_TEXT""}"
2020-05-18 21:07:05,2020-05-18 21:07:29,Survey Preview,100,24,True,2020-05-18 21:07:30,R_3fIwmiQChqldg9U,preview,EN,Yes,,,"First Year,Junior",Yes,Financial reasons,,Yes,Winter,Yes,STEM,
2020-05-19 13:16:38,2020-05-19 13:17:25,Survey Preview,100,46,True,2020-05-19 13:17:25,R_3RsaGBSNOAaB3aC,preview,EN,Yes,,,Sophomore,No,"Explore and study culture,Subject related to major",,No,,,,
2020-05-19 13:17:30,2020-05-19 13:17:54,Survey Preview,100,24,True,2020-05-19 13:17:55,R_w1cy4uNZftEg1s5,preview,EN,No,"Uncomfortable Being Alone in a Foreign Setting,Conflict with varsity athletics",,,,,,,,,,
2020-05-19 13:17:58,2020-05-19 13:18:17,Survey Preview,100,19,True,2020-05-19 13:18:19,R_aXVunlLn5Zb4T3H,preview,EN,Yes,,,,No,Subject related to major,,Yes,,,,
2020-05-19 14:42:16,2020-05-19 14:42:38,IP Address,100,22,True,2020-05-19 14:42:38,R_3R2R1A0ezKhf6No,email,EN,No,"Fulfilling Course Requirements,Uncomfortable Being Alone in a Foreign Setting",,,,,,No,,No,STEM,
2020-05-19 14:42:24,2020-05-19 14:42:46,IP Address,100,22,True,2020-05-19 14:42:47,R_2AQZW6YexNGJpoz,email,EN,Yes,,,Junior,No,,,No,,Yes,Humanities,
2020-05-19 14:42:52,2020-05-19 14:43:16,IP Address,100,23,True,2020-05-19 14:43:16,R_2QMn7AEtjIXfM5j,email,EN,No,"Financial Reasons,Fulfilling Course Requirements,Uncomfortable Being Alone in a Foreign Setting",,,,,,No,,Yes,STEM,
2020-05-19 14:42:48,2020-05-19 14:43:19,IP Address,100,31,True,2020-05-19 14:43:19,R_2CemAkak12N7faC,email,EN,Yes,,,First Year,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,Arts,
2020-05-19 14:42:47,2020-05-19 14:43:19,IP Address,100,32,True,2020-05-19 14:43:19,R_3fADoPB0QALotaU,email,EN,Yes,,,,Yes,"Explore and study culture,Subject related to major,Financial reasons,Travel through Europe",,No,,Yes,STEM,
2020-05-19 14:42:48,2020-05-19 14:43:19,IP Address,100,31,True,2020-05-19 14:43:20,R_2WVe04OyI8RltXn,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:42:48,2020-05-19 14:43:20,IP Address,100,32,True,2020-05-19 14:43:20,R_xD6skCkj51raBMZ,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Financial reasons,Travel through Europe",,Yes,Winter,Yes,Social Sciences,
2020-05-19 14:42:40,2020-05-19 14:43:20,IP Address,100,40,True,2020-05-19 14:43:21,R_2UWnapSYSomdEld,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Travel through Europe",,Yes,Fall,No,Social Sciences,
2020-05-19 14:42:46,2020-05-19 14:43:21,IP Address,100,34,True,2020-05-19 14:43:21,R_3oBJ40q3s5iafng,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Subject related to major",,No,,Yes,Humanities,
2020-05-19 14:42:50,2020-05-19 14:43:21,IP Address,100,30,True,2020-05-19 14:43:21,R_0uoDZjoFlISiLYt,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Interest in a language",,No,,Yes,Social Sciences,
2020-05-19 14:42:54,2020-05-19 14:43:24,IP Address,100,29,True,2020-05-19 14:43:24,R_2VkJaZqK99ox1l5,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major",,No,,No,STEM,
2020-05-19 14:42:52,2020-05-19 14:43:26,IP Address,100,33,True,2020-05-19 14:43:26,R_1FIEa7JKdKDlKCE,email,EN,Yes,,,Senior,No,,,No,,No,STEM,
2020-05-19 14:42:53,2020-05-19 14:43:27,IP Address,100,33,True,2020-05-19 14:43:27,R_2zMF20hRy2y74bb,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Travel through Europe",,No,,Yes,Social Sciences,
2020-05-19 14:43:02,2020-05-19 14:43:31,IP Address,100,28,True,2020-05-19 14:43:31,R_2qltePUS1uGGfxx,email,EN,Yes,,,Junior,No,,,Yes,Fall,Yes,Social Sciences,
2020-05-19 14:42:59,2020-05-19 14:43:33,IP Address,100,34,True,2020-05-19 14:43:33,R_3n2Eoaa0MUQdHvk,email,EN,No,Others,It was cancelled,,,,,No,,Yes,Arts,
2020-05-19 14:42:59,2020-05-19 14:43:33,IP Address,100,34,True,2020-05-19 14:43:33,R_pxQzXd8gZpBCsA9,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:43:09,2020-05-19 14:43:40,IP Address,100,30,True,2020-05-19 14:43:40,R_2dth5aIqqlQpVC5,email,EN,Yes,,,,Yes,Subject related to major,,No,,Yes,Social Sciences,
2020-05-19 14:42:58,2020-05-19 14:43:42,IP Address,100,43,True,2020-05-19 14:43:42,R_0JSLRv7Fgo3HOGB,email,EN,Yes,,,"Sophomore,Junior",Yes,"Explore and study culture,Subject related to major,Interest in a language",,No,,Yes,STEM,
2020-05-19 14:42:59,2020-05-19 14:43:49,Spam,100,49,True,2020-05-19 14:43:49,R_u7J2Izju4jMF1W9,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:43:29,2020-05-19 14:43:50,IP Address,100,21,True,2020-05-19 14:43:50,R_OwYqOdtto6LKc49,email,EN,Yes,,,Sophomore,No,,,No,,Yes,Social Sciences,
2020-05-19 14:43:18,2020-05-19 14:43:53,IP Address,100,34,True,2020-05-19 14:43:53,R_1OOUhGQY631jDQc,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Travel through Europe",,Yes,Spring,Yes,Social Sciences,
2020-05-19 14:43:29,2020-05-19 14:44:00,IP Address,100,30,True,2020-05-19 14:44:00,R_1OrAFAXqRbt3MDT,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Travel through Europe,Interest in a language",,No,,Yes,Social Sciences,
2020-05-19 14:43:35,2020-05-19 14:44:01,IP Address,100,25,True,2020-05-19 14:44:01,R_08mcpiHOfulZ3RD,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Travel through Europe",,Yes,Fall,Yes,Social Sciences,
2020-05-19 14:43:47,2020-05-19 14:44:05,IP Address,100,17,True,2020-05-19 14:44:05,R_2vkpEP0NMbCBnuq,email,EN,No,Financial Reasons,,,,,,No,,No,STEM,
2020-05-19 14:42:47,2020-05-19 14:44:09,IP Address,100,82,True,2020-05-19 14:44:10,R_1OOneVMP6onFGLq,email,EN,Yes,,,,No,,,Yes,Fall,No,STEM,
2020-05-19 14:43:34,2020-05-19 14:44:11,IP Address,100,36,True,2020-05-19 14:44:11,R_3G7E44di26VxX2o,email,EN,Yes,,,Junior,Yes,Travel through Europe,,Yes,Spring,Yes,Humanities,
2020-05-19 14:43:35,2020-05-19 14:44:13,IP Address,100,37,True,2020-05-19 14:44:13,R_2Cv5CyGIBIYu3xt,email,EN,Yes,,,First Year,Yes,Subject related to major,,No,,Yes,STEM,
2020-05-19 14:43:48,2020-05-19 14:44:15,IP Address,100,27,True,2020-05-19 14:44:16,R_2rkWWzCwpJkuhlq,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Subject related to major",,No,,Yes,Humanities,
2020-05-19 14:43:04,2020-05-19 14:44:20,IP Address,100,75,True,2020-05-19 14:44:20,R_3QXzCoQaYW4yiOF,email,EN,Yes,,,,Yes,"Explore and study culture,Travel through Europe",,No,,Yes,Humanities,
2020-05-19 14:43:42,2020-05-19 14:44:20,Spam,100,38,True,2020-05-19 14:44:20,R_2BA6VCXH3Slc8AJ,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:43:49,2020-05-19 14:44:23,IP Address,100,34,True,2020-05-19 14:44:23,R_3k7VQNBpgGruXf8,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,Humanities,
2020-05-19 14:43:24,2020-05-19 14:44:24,IP Address,100,59,True,2020-05-19 14:44:24,R_ZDl756qCiCRJnCV,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:43:17,2020-05-19 14:44:43,IP Address,100,85,True,2020-05-19 14:44:43,R_1dt5nU5FEd5GWjQ,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Interest in a language,Other","Safety, access to resources",No,,Yes,STEM,
2020-05-19 14:43:19,2020-05-19 14:44:43,IP Address,100,83,True,2020-05-19 14:44:43,R_3J8ie6R0O2wiwia,email,EN,Yes,,,Junior,No,,,Yes,Spring,Yes,STEM,
2020-05-19 14:44:07,2020-05-19 14:44:49,IP Address,100,42,True,2020-05-19 14:44:49,R_25LAhgUcHNOlWO6,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,Humanities,
2020-05-19 14:43:59,2020-05-19 14:44:50,IP Address,100,50,True,2020-05-19 14:44:50,R_T0iwiLynmnoaAvf,email,EN,Yes,,,,,"Subject related to major,Travel through Europe",,No,,No,STEM,
2020-05-19 14:44:00,2020-05-19 14:44:53,IP Address,100,53,True,2020-05-19 14:44:54,R_1QipGOXB6tjkxVa,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Travel through Europe,Interest in a language",,No,,Yes,Social Sciences,
2020-05-19 14:43:21,2020-05-19 14:44:55,IP Address,100,93,True,2020-05-19 14:44:55,R_3Ej5C0LOONyRu1g,email,EN,No,Others,uncertainty surrounding COVID-19,,,,,No,,Yes,Social Sciences,
2020-05-19 14:44:08,2020-05-19 14:44:55,IP Address,100,47,True,2020-05-19 14:44:55,R_2EAjOg44qqU3cwv,email,EN,Yes,,,Junior,Yes,Subject related to major,,No,,Yes,Social Sciences,
2020-05-19 14:44:19,2020-05-19 14:44:58,IP Address,100,38,True,2020-05-19 14:44:58,R_27wyCahMbOdEED0,email,EN,No,"Uncomfortable Being Alone in a Foreign Setting,Others","I valued being on campus, and didn't find any programs that I was really excited about",,,,,No,,Yes,STEM,
2020-05-19 14:44:22,2020-05-19 14:44:59,IP Address,100,36,True,2020-05-19 14:44:59,R_3HSwAEK2pQESCk1,email,EN,Yes,,,"Junior,Senior",No,,,No,,Yes,STEM,
2020-05-19 14:44:28,2020-05-19 14:45:05,IP Address,100,37,True,2020-05-19 14:45:05,R_Tcj8L52BhJA4AeZ,email,EN,Yes,,,,Yes,"Subject related to major,Interest in a language",,Yes,Winter,Yes,Humanities,
2020-05-19 14:44:26,2020-05-19 14:45:07,IP Address,100,41,True,2020-05-19 14:45:07,R_2zd6HaGPYSjXsoc,email,EN,Yes,,,Sophomore,No,,,No,,Yes,Other,Art and Stem
2020-05-19 14:44:33,2020-05-19 14:45:15,IP Address,100,41,True,2020-05-19 14:45:15,R_bE4Hv49pJIuiHtL,email,EN,No,Others,First-year student,,,,,No,,Yes,STEM,
2020-05-19 14:44:36,2020-05-19 14:45:18,IP Address,100,42,True,2020-05-19 14:45:19,R_2TzKScjQiyIT6yY,email,EN,Yes,,,,Yes,"Explore and study culture,Subject related to major,Interest in a language",,No,,Yes,Other,"Undecided "
2020-05-19 14:44:55,2020-05-19 14:45:20,IP Address,100,25,True,2020-05-19 14:45:20,R_3iBWBtaCvIFHkfb,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,STEM,
2020-05-19 14:44:50,2020-05-19 14:45:25,IP Address,100,34,True,2020-05-19 14:45:25,R_3HtpFQ9I6Ln1AyS,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe,Interest in a language",,No,,Yes,Social Sciences,
2020-05-19 14:45:05,2020-05-19 14:45:29,IP Address,100,23,True,2020-05-19 14:45:29,R_2Y4U4sPzkQ94dp5,email,EN,Yes,,,Junior,No,,,No,,Yes,Arts,
2020-05-19 14:45:05,2020-05-19 14:45:29,IP Address,100,24,True,2020-05-19 14:45:30,R_2P1iMxIgXgyBosp,email,EN,Yes,,,,,,,,,Yes,Humanities,
2020-05-19 14:43:42,2020-05-19 14:45:38,IP Address,100,116,True,2020-05-19 14:45:38,R_b87KlzgtWQ8rtsd,email,EN,Yes,,,Junior,No,,,No,,Yes,Humanities,
2020-05-19 14:45:16,2020-05-19 14:45:39,Spam,100,22,True,2020-05-19 14:45:39,R_22mL6kiwhzH40tM,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:44:53,2020-05-19 14:45:43,IP Address,100,50,True,2020-05-19 14:45:43,R_2e2zK1cM3tOFJ6j,email,EN,Yes,,,Junior,Yes,"Subject related to major,Other",Prestige,No,,No,STEM,
2020-05-19 14:45:25,2020-05-19 14:45:48,IP Address,100,22,True,2020-05-19 14:45:48,R_OEfax5yAP9xU2Hf,email,EN,Yes,,,Junior,No,,,No,,Yes,Arts,
2020-05-19 14:45:00,2020-05-19 14:46:14,IP Address,100,74,True,2020-05-19 14:46:15,R_XKYpLRxnxmzK3nj,email,EN,No,"Financial Reasons,Fulfilling Course Requirements,Others","Did not want to take a term off at Carleton, Winter Break trip cancelled",,,,,No,,Yes,Social Sciences,
2020-05-19 14:45:40,2020-05-19 14:46:27,IP Address,100,46,True,2020-05-19 14:46:27,R_r7tJN85MUHCj73P,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,STEM,
2020-05-19 14:45:44,2020-05-19 14:46:35,IP Address,100,51,True,2020-05-19 14:46:35,R_SHjxqOY1UMapLqh,email,EN,No,Others,Cancelled due to covid,,,,,No,,Yes,Social Sciences,
2020-05-19 14:45:51,2020-05-19 14:46:49,IP Address,100,58,True,2020-05-19 14:46:49,R_3kb3g5jbfwRb7Di,email,EN,Yes,,,Senior,No,,,No,,Yes,Social Sciences,
2020-05-19 14:46:01,2020-05-19 14:46:56,IP Address,100,55,True,2020-05-19 14:46:56,R_4OyIIJ0eIW1itrP,email,EN,Yes,,,,No,,,No,,Yes,STEM,
2020-05-19 14:42:59,2020-05-19 14:46:57,IP Address,100,238,True,2020-05-19 14:46:57,R_28CCPygnIyXqHrU,email,EN,Yes,,,Sophomore,No,,,No,,Yes,Humanities,
2020-05-19 14:46:18,2020-05-19 14:46:58,IP Address,100,40,True,2020-05-19 14:46:58,R_3MKxdnQih2COqcj,email,EN,Yes,,,Junior,Yes,"Subject related to major,Travel through Europe",,No,,No,STEM,
2020-05-19 14:45:56,2020-05-19 14:47:00,IP Address,100,64,True,2020-05-19 14:47:01,R_2rT7pYdcNgQiMim,email,EN,Yes,,,Junior,No,,,No,,Yes,Social Sciences,
2020-05-19 14:46:38,2020-05-19 14:47:04,Spam,100,26,True,2020-05-19 14:47:04,R_3LZ6kLztTqXVm0c,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:46:35,2020-05-19 14:47:06,IP Address,100,30,True,2020-05-19 14:47:06,R_bvbRq0nlRkKnbZn,email,EN,Yes,,,Senior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,Social Sciences,
2020-05-19 14:46:54,2020-05-19 14:47:08,IP Address,100,13,True,2020-05-19 14:47:08,R_rqKWaohOiYG8bol,email,EN,No,Uncomfortable Being Alone in a Foreign Setting,,,,,,No,,No,Humanities,
2020-05-19 14:46:09,2020-05-19 14:47:09,IP Address,100,59,True,2020-05-19 14:47:09,R_3RslQeAn8iIGtp1,email,EN,Yes,,,Junior,No,Other,not a European program,No,,Yes,STEM,
2020-05-19 14:46:28,2020-05-19 14:47:12,IP Address,100,43,True,2020-05-19 14:47:12,R_XMtZ1qorS6ZSO1b,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe,Interest in a language",,No,,Yes,Arts,
2020-05-19 14:46:50,2020-05-19 14:47:23,IP Address,100,32,True,2020-05-19 14:47:23,R_1rGILePRw0yyq01,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,No,Social Sciences,
2020-05-19 14:47:09,2020-05-19 14:47:40,Spam,100,30,True,2020-05-19 14:47:40,R_1DSdtjp0fN7MxfG,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,STEM,
2020-05-19 14:47:23,2020-05-19 14:47:49,IP Address,100,26,True,2020-05-19 14:47:50,R_8ui6j1pEIeG5Ahb,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,No,STEM,
2020-05-19 14:47:37,2020-05-19 14:48:19,IP Address,100,42,True,2020-05-19 14:48:19,R_25T6ZFv0C74jyyD,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,Social Sciences,
2020-05-19 14:46:38,2020-05-19 14:48:25,IP Address,100,106,True,2020-05-19 14:48:25,R_rk9gTAfY3iNRXzz,email,EN,Yes,,,"Sophomore,Junior",Yes,"Explore and study culture,Subject related to major,Travel through Europe,Interest in a language",,Yes,Winter,Yes,Other,STEM and Humanities
2020-05-19 14:48:13,2020-05-19 14:48:42,IP Address,100,29,True,2020-05-19 14:48:42,R_2dWsrNGrAP4pO2B,email,EN,Yes,,,,,,,No,,Yes,STEM,
2020-05-19 14:48:43,2020-05-19 14:49:20,IP Address,100,36,True,2020-05-19 14:49:20,R_1GmpAA92eQV9G25,email,EN,Yes,,,Senior,No,,,No,,Yes,Humanities,
2020-05-19 14:48:23,2020-05-19 14:49:25,IP Address,100,62,True,2020-05-19 14:49:25,R_1IcpvHcnNr0lQIA,email,EN,Yes,,,Sophomore,No,,,No,,Yes,Social Sciences,
2020-05-19 14:48:10,2020-05-19 14:49:35,IP Address,100,85,True,2020-05-19 14:49:35,R_8IgyiofIyeQELsJ,email,EN,Yes,,,Sophomore,No,,,No,,Yes,Social Sciences,
2020-05-19 14:49:04,2020-05-19 14:49:44,IP Address,100,39,True,2020-05-19 14:49:44,R_3Rjykawuu6SHWha,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Subject related to major,Interest in a language",,No,,Yes,Humanities,
2020-05-19 14:49:28,2020-05-19 14:49:57,IP Address,100,29,True,2020-05-19 14:49:57,R_5uItReuBB9IKaCB,email,EN,Yes,,,"Sophomore,Junior",Yes,"Explore and study culture,Interest in a language",,No,,Yes,STEM,
2020-05-19 14:49:19,2020-05-19 14:50:03,IP Address,100,44,True,2020-05-19 14:50:03,R_3qJ0PMHMZT1JAIc,email,EN,Yes,,,Sophomore,Yes,"Subject related to major,Travel through Europe",,Yes,Fall,No,Social Sciences,
2020-05-19 14:49:35,2020-05-19 14:50:10,IP Address,100,35,True,2020-05-19 14:50:10,R_27BfT5gjg09L4XM,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:49:55,2020-05-19 14:50:48,IP Address,100,53,True,2020-05-19 14:50:48,R_3Em9rfDUqig9PeQ,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Financial reasons,Interest in a language,Other",familiarity with European culture,No,,Yes,STEM,
2020-05-19 14:50:18,2020-05-19 14:50:48,IP Address,100,30,True,2020-05-19 14:50:48,R_27IDYK3ZbYp2fZy,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,STEM,
2020-05-19 14:50:19,2020-05-19 14:50:54,IP Address,100,35,True,2020-05-19 14:50:54,R_1jrmmTpgNJDohqh,email,EN,No,Uncomfortable Being Alone in a Foreign Setting,,,,,,No,,No,STEM,
2020-05-19 14:50:39,2020-05-19 14:51:10,IP Address,100,31,True,2020-05-19 14:51:11,R_9Ncd6vDQjNYySSR,email,EN,Yes,,,,No,,,No,,Yes,Humanities,
2020-05-19 14:51:19,2020-05-19 14:51:55,IP Address,100,36,True,2020-05-19 14:51:56,R_2PhdxhmRkkDlyFm,email,EN,Yes,,,"Sophomore,Junior",Yes,"Explore and study culture,Subject related to major,Interest in a language",,No,,Yes,Other,Language
2020-05-19 14:51:50,2020-05-19 14:52:07,IP Address,100,17,True,2020-05-19 14:52:07,R_3GoW4nPQVJdpq02,email,EN,Yes,,,,No,,,No,,Yes,Humanities,
2020-05-19 14:51:21,2020-05-19 14:52:08,IP Address,100,46,True,2020-05-19 14:52:08,R_1opWIXpJ0FpIK2s,email,EN,No,Others,Coronavirus,,,,,No,,Yes,Arts,
2020-05-19 14:50:56,2020-05-19 14:52:20,IP Address,100,83,True,2020-05-19 14:52:20,R_RxzkE2g4hScIeT7,email,EN,No,Others,Cancelled b/c of COVID-19,,,,,No,,Yes,STEM,
2020-05-19 14:51:30,2020-05-19 14:52:26,IP Address,100,56,True,2020-05-19 14:52:26,R_sMV6CqtwaQRql6F,email,EN,Yes,,,,No,,,Yes,Fall,Yes,STEM,
2020-05-19 14:52:21,2020-05-19 14:52:55,IP Address,100,33,True,2020-05-19 14:52:55,R_z6W6sZGFaBEa5Et,email,EN,Yes,,,Sophomore,No,,,No,,Yes,Other,Undecided
2020-05-19 14:52:37,2020-05-19 14:53:00,IP Address,100,22,True,2020-05-19 14:53:00,R_Tngxj1uHaY3Vod3,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Travel through Europe",,No,,Yes,STEM,
2020-05-19 14:52:32,2020-05-19 14:53:04,IP Address,100,31,True,2020-05-19 14:53:04,R_3OyDvY5Y4QBRB73,email,EN,Yes,,,"Sophomore,Junior",No,,,No,,Yes,STEM,
2020-05-19 14:50:43,2020-05-19 14:53:22,IP Address,100,159,True,2020-05-19 14:53:22,R_21GK0TVPUKkNOkQ,email,EN,Yes,,,,Yes,"Explore and study culture,Subject related to major",,No,,Yes,Social Sciences,
2020-05-19 14:51:19,2020-05-19 14:53:26,IP Address,100,126,True,2020-05-19 14:53:26,R_r3GGGHZ3oYSCjkt,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,STEM,
2020-05-19 14:53:01,2020-05-19 14:53:29,IP Address,100,27,True,2020-05-19 14:53:29,R_2CdhfiYBaf2znx3,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:53:11,2020-05-19 14:53:32,Spam,100,21,True,2020-05-19 14:53:32,R_27VAb3C5NvpQl1j,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:53:07,2020-05-19 14:53:41,IP Address,100,33,True,2020-05-19 14:53:41,R_1pnG8adF9mgcd7N,email,EN,Yes,,,"Sophomore,Senior",No,,,No,,Yes,Arts,
2020-05-19 14:52:51,2020-05-19 14:54:00,IP Address,100,68,True,2020-05-19 14:54:00,R_3PNsEWinyOU4C4o,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Travel through Europe",,Yes,Fall,Yes,STEM,
2020-05-19 14:53:16,2020-05-19 14:54:00,IP Address,100,43,True,2020-05-19 14:54:00,R_2xWt6pYX5eoxzAZ,email,EN,Yes,,,Sophomore,Yes,"Explore and study culture,Interest in a language",,No,,Yes,STEM,
2020-05-19 14:53:47,2020-05-19 14:54:16,IP Address,100,29,True,2020-05-19 14:54:17,R_27kG7sLBH2GhGBi,email,EN,Yes,,,Junior,No,,,No,,Yes,STEM,
2020-05-19 14:52:23,2020-05-19 14:54:26,IP Address,100,122,True,2020-05-19 14:54:26,R_PwjONCy6O8K0k37,email,EN,Yes,,,Junior,No,,,No,,No,Humanities,
2020-05-19 14:53:54,2020-05-19 14:54:40,IP Address,100,46,True,2020-05-19 14:54:41,R_3MrF8EzBJGANuLW,email,EN,Yes,,,Junior,Yes,Other,"Subject related to minor ",Yes,Winter,Yes,STEM,
2020-05-19 14:54:07,2020-05-19 14:54:46,IP Address,100,38,True,2020-05-19 14:54:46,R_2QYfEveJ38xu3Ym,email,EN,Yes,,,Sophomore,Yes,Travel through Europe,,Yes,Winter,Yes,STEM,
2020-05-19 14:54:36,2020-05-19 14:54:59,IP Address,100,23,True,2020-05-19 14:54:59,R_3oYjWLO0eJyKwaG,email,EN,Yes,,,Junior,No,,,No,,No,STEM,
2020-05-19 14:53:55,2020-05-19 14:55:35,IP Address,100,100,True,2020-05-19 14:55:35,R_OcWJiKNXgPnJBrH,email,EN,Yes,,,,Yes,Subject related to major,,No,,Yes,Arts,
2020-05-19 14:55:19,2020-05-19 14:55:47,IP Address,100,28,True,2020-05-19 14:55:48,R_8ii5jOU8Et7NPP3,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,No,STEM,
2020-05-19 14:55:00,2020-05-19 14:56:17,IP Address,100,76,True,2020-05-19 14:56:17,R_2EGFlfOCuAgqn9u,email,EN,No,"Fulfilling Course Requirements,Others",The Australia program got canceled,,,,,No,,Yes,STEM,
2020-05-19 14:56:09,2020-05-19 14:56:55,IP Address,100,46,True,2020-05-19 14:56:55,R_1JLxbn2bUwCPRaD,email,EN,Yes,,,Junior,Yes,"Explore and study culture,Subject related to major,Travel through Europe",,No,,Yes,Social Sciences,
2020-05-19 14:56:43,2020-05-19 14:57:00,Survey Preview,100,17,True,2020-05-19 14:57:00,R_yCRAqOshgDPvXb3,preview,EN,No,Financial Reasons,,,,,,No,,No,Humanities,
2020-05-19 14:56:04,2020-05-19 14:57:02,IP Address,100,58,True,2020-05-19 14:57:02,R_1FqrBLcLRAWdQkz,email,EN,Yes,,,Junior,Yes,Subject related to major,,No,,Yes,Social Sciences,
2020-05-19 14:56:44,2020-05-19 14:57:11,IP Address,100,26,True,2020-05-19 14:57:11,R_BMytbtSovU5CK7D,email,EN,Yes,,,"Sophomore,Senior",Yes,"Explore and study culture,Interest in a language",,No,,Yes,STEM,
